year,month,oyo_id,hub,city,cluster,SRNs,GMV,OCC,OTA,TraveLoka,Booking.com,Agoda,Tiket.com,Pegipegi,Expedia,App,MM,Walk_In,Web,Direct,Rest,ARR,OTA.1,TraveLoka.1,Booking.com.1,Agoda.1,Tiket.com.1,Pegipegi.1,Expedia.1,App.1,MM.1,Walk_In.1,Web.1,Direct.1,Rest.1,Revpar,Cancellations,No_Shows,GTR,NTR,MG_Loss,Review score,display_category
2020,1,ID_BDG001,West Java 1,Bandung,Coblong,1852,181285004.4,0.5513,0.2484,0.1479,0.0529,0.0324,0.0076,0.0054,0.0016,0.2424,0.0518,0.0038,0.0032,0.0016,0.0,177555,193880,197499,168894,217521,206229,181793,208733,165839,140947,304831,237402,182623,0,97885,0.3037,0.0423,0.2656,0.1741,0,8.5,OYO Hotels
2020,1,ID_BDG001,West Java 1,Bandung,Coblong,1852,181285004.4,0.5513,0.2484,0.1479,0.0529,0.0324,0.0076,0.0054,0.0016,0.2424,0.0518,0.0038,0.0032,0.0016,0.0,177555,193880,197499,168894,217521,206229,181793,208733,165839,140947,304831,237402,182623,0,97885,0.3037,0.0423,0.2656,0.1741,0,8.5,OYO Hotels
2020,1,ID_BDG001,West Java 1,Bandung,Coblong,1852,181285004.4,0.5513,0.2484,0.1479,0.0529,0.0324,0.0076,0.0054,0.0016,0.2424,0.0518,0.0038,0.0032,0.0016,0.0,177555,193880,197499,168894,217521,206229,181793,208733,165839,140947,304831,237402,182623,0,97885,0.3037,0.0423,0.2656,0.1741,0,9.1,OYO Hotels
2020,1,ID_BDG001,West Java 1,Bandung,Coblong,1852,181285004.4,0.5513,0.2484,0.1479,0.0529,0.0324,0.0076,0.0054,0.0016,0.2424,0.0518,0.0038,0.0032,0.0016,0.0,177555,193880,197499,168894,217521,206229,181793,208733,165839,140947,304831,237402,182623,0,97885,0.3037,0.0423,0.2656,0.1741,0,6.2,OYO Hotels
2020,1,ID_BDG001,West Java 1,Bandung,Coblong,1852,181285004.4,0.5513,0.2484,0.1479,0.0529,0.0324,0.0076,0.0054,0.0016,0.2424,0.0518,0.0038,0.0032,0.0016,0.0,177555,193880,197499,168894,217521,206229,181793,208733,165839,140947,304831,237402,182623,0,97885,0.3037,0.0423,0.2656,0.1741,0,8.4,OYO Hotels
2020,1,ID_BDG001,West Java 1,Bandung,Coblong,1852,181285004.4,0.5513,0.2484,0.1479,0.0529,0.0324,0.0076,0.0054,0.0016,0.2424,0.0518,0.0038,0.0032,0.0016,0.0,177555,193880,197499,168894,217521,206229,181793,208733,165839,140947,304831,237402,182623,0,97885,0.3037,0.0423,0.2656,0.1741,0,10.0,OYO Hotels
2020,1,ID_BDG005,West Java 1,Bandung,Sukajadi,200,13918050.0,0.375,0.185,0.065,0.005,0.05,0.025,0.03,0.0,0.155,0.015,0.015,0.005,0.0,0.0,185574,190841,218069,155202,175656,179846,181569,0,170866,180000,285000,165081,0,0,69590,0.2386,0.4982,0.2743,0.1796,0,8.5,OYO Hotels
2020,1,ID_BDG005,West Java 1,Bandung,Sukajadi,200,13918050.0,0.375,0.185,0.065,0.005,0.05,0.025,0.03,0.0,0.155,0.015,0.015,0.005,0.0,0.0,185574,190841,218069,155202,175656,179846,181569,0,170866,180000,285000,165081,0,0,69590,0.2386,0.4982,0.2743,0.1796,0,9.7,OYO Hotels
2020,1,ID_BDG005,West Java 1,Bandung,Sukajadi,200,13918050.0,0.375,0.185,0.065,0.005,0.05,0.025,0.03,0.0,0.155,0.015,0.015,0.005,0.0,0.0,185574,190841,218069,155202,175656,179846,181569,0,170866,180000,285000,165081,0,0,69590,0.2386,0.4982,0.2743,0.1796,0,9.6,OYO Hotels
2020,1,ID_BDG005,West Java 1,Bandung,Sukajadi,200,13918050.0,0.375,0.185,0.065,0.005,0.05,0.025,0.03,0.0,0.155,0.015,0.015,0.005,0.0,0.0,185574,190841,218069,155202,175656,179846,181569,0,170866,180000,285000,165081,0,0,69590,0.2386,0.4982,0.2743,0.1796,0,7.6,OYO Hotels
