year,month,oyo_id,hub,city,cluster,SRNs,GMV,OCC,OTA,TraveLoka,Booking.com,Agoda,Tiket.com,Pegipegi,Expedia,App,MM,Walk_In,Web,Direct,Rest,ARR,OTA,TraveLoka,Booking.com,Agoda,Tiket.com,Pegipegi,Expedia,App,MM,Walk_In,Web,Direct,Rest,Revpar,Cancellations,No_Shows,GTR,NTR,MG_Loss
2020,1,ID_BAH016,North Sumatra,Banda Aceh,Banda Aceh,0,0,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00%,0.00%,0.00%,0.00%,0
2020,1,ID_BAH017,North Sumatra,Banda Aceh,Banda Aceh,0,0,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00%,0.00%,0.00%,0.00%,0
2020,1,ID_BDG001,West Java 1,Bandung,Coblong,1852,########,55.13%,24.84%,14.79%,5.29%,3.24%,0.76%,0.54%,0.16%,24.24%,5.18%,0.38%,0.32%,0.16%,0.00%,"177,555","193,880","197,499","168,894","217,521","206,229","181,793","208,733","165,839","140,947","304,831","237,402","182,623",0,"97,885",30.37%,4.23%,26.56%,17.41%,0
2020,1,ID_BDG002,West Java 1,Kabupaten Bandung,Cimenyan,0,0,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00%,0.00%,0.00%,0.00%,0
2020,1,ID_BDG003,West Java 1,Bandung,Sumur Bandung,0,0,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00%,0.00%,0.00%,0.00%,0
2020,1,ID_BDG004,West Java 1,Bandung,Cidadap,0,0,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00%,0.00%,0.00%,0.00%,0
2020,1,ID_BDG005,West Java 1,Bandung,Sukajadi,200,########,37.50%,18.50%,6.50%,0.50%,5.00%,2.50%,3.00%,0.00%,15.50%,1.50%,1.50%,0.50%,0.00%,0.00%,"185,574","190,841","218,069","155,202","175,656","179,846","181,569",0,"170,866","180,000","285,000","165,081",0,0,"69,590",23.86%,49.82%,27.43%,17.96%,0
2020,1,ID_BDG006,West Java 1,Bandung,Sukajadi,1059,########,38.90%,15.30%,3.31%,0.09%,7.27%,1.70%,1.98%,0.00%,21.15%,0.00%,1.98%,0.47%,0.00%,0.00%,"142,494","133,365","149,729","241,666","124,640","139,812","121,188",0,"145,688",0,"171,249","174,402",0,0,"55,437",35.30%,5.33%,29.46%,22.22%,0
2020,1,ID_BDG007,West Java 1,Bandung,Coblong,0,0,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00%,0.00%,0.00%,0.00%,0
2020,1,ID_BDG008,West Java 1,Kabupaten Bandung Barat,Lembang,369,########,40.11%,27.91%,7.86%,3.52%,13.01%,1.36%,1.36%,0.54%,9.49%,0.00%,1.08%,0.81%,0.81%,0.00%,"223,364","225,070","246,837","272,550","201,578","223,871","180,952","324,794","206,995",0,"311,991","172,308","288,643",0,"89,588",32.53%,8.03%,36.35%,23.34%,0
