year,month,oyo_id,hub,city,cluster,SRNs,GMV,OCC,OTA,TraveLoka,Booking.com,Agoda,Tiket.com,Pegipegi,Expedia,App,MM,Walk_In,Web,Direct,Rest,ARR,OTA.1,TraveLoka.1,Booking.com.1,Agoda.1,Tiket.com.1,Pegipegi.1,Expedia.1,App.1,MM.1,Walk_In.1,Web.1,Direct.1,Rest.1,Revpar,Cancellations,No_Shows,GTR,NTR,MG_Loss
2020,1,ID_MBO004,South Sumatra,Muara Bungo,Kabupaten Bungo,1147,25347087.43,0.1517,0.0558,0.0314,0.0017,0.0174,0.0052,0.0,0.0,0.0671,0.0279,0.0,0.0009,0.0,0.0,145673,161924,153302,153509,178831,160106,0,0,164783,66250,0,175666,0,0,22099,0.1262,0.0607,0.2969,0.2146,0
2020,1,ID_MDN001,North Sumatra,Medan,Medan Petisah,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0
2020,1,ID_MDN002,North Sumatra,Medan,Medan Barat,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,0.0,0.0,0.0,0
2020,1,ID_MDN003,North Sumatra,Medan,Medan Amplas,156,2149416.126,0.0705,0.0449,0.0385,0.0,0.0,0.0,0.0,0.0064,0.0256,0.0,0.0,0.0,0.0,0.0,195437,197115,195194,0,0,0,0,208642,192500,0,0,0,0,0,13781,0.4211,0.0,0.0,-0.12119999999999999,0
2020,1,ID_MDN004,North Sumatra,Medan,Medan Kota,1085,59600335.73,0.3134,0.1585,0.0756,0.0083,0.0525,0.0203,0.0009,0.0,0.0581,0.0,0.0968,0.0,0.0,0.0,175275,175651,164687,157969,194099,179358,158817,0,171589,0,176869,0,0,0,54925,0.2013,0.038,0.1704,0.07139999999999999,0
2020,1,ID_MDN005,North Sumatra,Medan,Medan Petisah,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0
2020,1,ID_MDN006,North Sumatra,Medan,Medan Helvetia,1495,160719091.8,0.6548,0.1204,0.0334,0.008,0.0676,0.01,0.0013,0.0,0.3117,0.0161,0.1385,0.0676,0.0,0.0007,164179,164466,168550,185055,160324,168871,114988,0,161540,154298,168827,168686,0,162000,107513,0.2339,0.0435,0.2501,0.2134,0
2020,1,ID_MDN007,North Sumatra,Medan,Medan Baru,1229,102213475.4,0.4687,0.2539,0.0911,0.0008,0.118,0.0415,0.0016,0.0008,0.1684,0.0073,0.0325,0.0041,0.0024,0.0,177444,171779,170386,148995,168215,185060,167782,198094,169244,238889,250000,185959,166583,0,83164,0.1162,0.0253,0.2238,0.12619999999999998,0
2020,1,ID_MDN008,North Sumatra,Medan,Medan Petisah,1240,194313753.1,0.6532,0.3556,0.0516,0.0315,0.2169,0.0177,0.0298,0.0056,0.1306,0.0097,0.15,0.0016,0.0,0.0056,239903,136994,234419,254115,92457,237932,92448,165224,265801,220000,461600,294643,0,251429,156711,0.2651,0.0168,0.1617,0.10189999999999999,0
2020,1,ID_MDN009,North Sumatra,Medan,Medan Kota,1581,66278576.71,0.2998,0.2011,0.067,0.0108,0.0961,0.0196,0.0051,0.0025,0.0904,0.0006,0.0025,0.0038,0.0013,0.0,139833,140858,145646,133930,136247,142789,114639,256100,136551,245000,163500,137891,117402,0,41923,0.3236,0.0502,0.1936,0.062,0
2020,1,ID_MDN010,North Sumatra,Medan,Medan Helvetia,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0
2020,1,ID_MDN011,North Sumatra,Medan,Medan Petisah,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,0.0,0.0,0.0,0
2020,1,ID_MDN012,North Sumatra,Medan,Medan Baru,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,0.0,0.0,0.0,0
2020,1,ID_MDN013,North Sumatra,Medan,Medan Barat,310,16663660.14,0.3194,0.1097,0.0516,0.0161,0.0065,0.0161,0.0129,0.0065,0.1452,0.0032,0.0613,0.0,0.0,0.0,168296,167446,166358,179591,135837,152944,203854,140833,159718,210000,187939,0,0,0,53746,0.3312,0.0382,-0.49700000000000005,-0.5593,8385754
2020,1,ID_MDN014,North Sumatra,Medan,Medan Petisah,899,63889228.68,0.5328,0.0934,0.02,0.0345,0.0256,0.0133,0.0,0.0,0.3103,0.0756,0.0512,0.0022,0.0,0.0,133384,162847,154979,145581,192250,162895,0,0,128999,111352,136609,182573,0,0,71069,0.1524,0.0452,-0.5687,-0.6075,0
2020,1,ID_MDN015,North Sumatra,Medan,Medan Tembung,558,47511759.95,0.5573,0.0896,0.0394,0.0036,0.0251,0.0179,0.0036,0.0,0.267,0.0054,0.19,0.0054,0.0,0.0,152784,149805,147936,182571,152436,139730,169540,0,143458,153333,166306,187345,0,0,85154,0.2394,0.0305,-0.0552,-0.0843,2608278
2020,1,ID_MDN016,North Sumatra,Medan,Medan Deli,837,92532109.96,0.6487,0.2533,0.147,0.0203,0.0502,0.0108,0.0036,0.0215,0.276,0.0872,0.0287,0.0012,0.0024,0.0,170421,162035,159965,162288,162141,169017,178749,169412,165748,176921,269935,147250,179170,0,110560,0.2146,0.0385,0.2619,0.1928,0
2020,1,ID_MDN017,North Sumatra,Medan,Medan Kota,341,11817121.28,0.2551,0.1466,0.088,0.0117,0.0293,0.0,0.0029,0.0029,0.0997,0.0,0.0,0.0,0.0088,0.0,135846,136804,125044,201178,133177,0,166774,138745,134951,0,0,0,130000,0,34659,0.4249,0.1244,-2.9567,-3.0664999999999996,0
